Layer,Filters,Output Size,Num Params,MACs
Conv2D,32,16,896,221184
BatchNorm,0,16,128,0
SeparableConv2D,64,8,2400,149504
BatchNorm,0,8,256,0
SeparableConv2D,128,4,8896,140288
BatchNorm,0,4,512,0
SeparableConv2D,128,4,17664,280576
BatchNorm,0,4,512,0
SeparableConv2D,128,4,17664,280576
BatchNorm,0,4,512,0
SeparableConv2D,128,4,17664,280576
BatchNorm,0,4,512,0
SeparableConv2D,128,4,17664,280576
BatchNorm,0,4,512,0
MaxPool,4,1,0,0
Flatten,0,128,0,0
Dense,128,128,16512,16384
BatchNorm,0,128,512,0
Dense,10,10,1290,1280
